                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 0.8752,                 1.1811,                0.56204,                  0.926,                0.68188,                 0.6563,                0.66961,                 0.4311,                0.71549,                0.64208,                0.65855,                 0.3391,                 1.2295,                 1.6818,                0.98802,                 1.1959,              0.0004952,              0.0004952,              0.0004952
                     78,                0.86875,                 1.1606,                0.56098,                  0.922,                 0.7747,                0.60393,                0.69517,                0.43491,                0.76544,                0.59819,                0.67328,                0.33844,                 1.2533,                  1.735,                0.99492,                  1.226,              0.0004754,              0.0004754,              0.0004754
                     79,                0.86092,                 1.1511,                0.55093,                0.91414,                0.69223,                0.66259,                0.68606,                 0.4348,                0.70597,                0.64055,                0.68229,                0.34247,                 1.2324,                  1.668,                0.95967,                 1.2302,              0.0004556,              0.0004556,              0.0004556
                     80,                 0.8728,                 1.1702,                0.55513,                0.92822,                0.69409,                0.64975,                0.68177,                0.43105,                0.72712,                0.61702,                0.67277,                0.34013,                 1.2427,                 1.6745,                0.95407,                 1.2414,              0.0004358,              0.0004358,              0.0004358
                     81,                0.85196,                 1.1585,                0.54829,                0.91543,                0.67419,                 0.6841,                0.68847,                0.44256,                0.72135,                0.59411,                0.65964,                 0.3349,                 1.2244,                  1.691,                0.97258,                 1.2164,               0.000416,               0.000416,               0.000416
                     82,                0.84958,                 1.1517,                0.54055,                0.91246,                 0.6957,                0.66776,                0.70599,                0.44542,                0.68045,                0.63502,                0.67599,                 0.3441,                 1.2347,                 1.6848,                0.93675,                 1.2265,              0.0003962,              0.0003962,              0.0003962
                     83,                0.83672,                 1.1546,                 0.5338,                 0.9047,                0.72195,                0.65303,                0.69651,                0.44837,                0.72776,                0.64484,                0.68954,                0.35448,                 1.2042,                 1.6551,                0.92115,                 1.2095,              0.0003764,              0.0003764,              0.0003764
                     84,                 0.8411,                 1.1294,                0.53184,                 0.9141,                0.70257,                0.66776,                0.69638,                0.44993,                0.77472,                0.61047,                0.68349,                0.35165,                 1.1916,                 1.6693,                0.94424,                 1.2105,              0.0003566,              0.0003566,              0.0003566
                     85,                0.83447,                 1.1387,                0.53271,                0.90848,                0.67169,                0.67758,                0.69704,                0.44509,                0.74073,                0.60065,                0.67423,                0.34998,                 1.2021,                  1.713,                0.94871,                  1.208,              0.0003368,              0.0003368,              0.0003368
                     86,                0.82573,                 1.1127,                0.52313,                0.90581,                0.73119,                0.64812,                0.69006,                0.44296,                  0.749,                0.61536,                0.68342,                0.34112,                 1.2287,                 1.7261,                0.94027,                 1.2266,               0.000317,               0.000317,               0.000317
