,0
2291,0
2292,0
2293,0
2294,0
2295,0
2296,0
2297,0
2298,0
2299,0
2300,111
2301,111
2302,111
2303,111
2304,111
2305,0
2306,0
2307,0
2308,0
2309,0
2310,0
2311,0
2312,0
2313,0
2314,0
2315,0
2316,0
2317,0
2318,0
2319,0
2320,0
2321,0
2322,0
2323,0
2324,0
2325,0
2326,0
2327,0
2328,0
2329,0
2330,0
2331,0
2332,0
2333,0
2334,0
2335,0
2336,0
2337,0
2338,0
2339,0
2340,208
2341,207
2342,42
2343,43
2344,0
2345,0
2346,0
2347,0
2348,433
2349,428
2350,479
2351,380
2352,465
2353,528
2354,524
2355,307
2356,0
2357,0
2358,0
2359,0
2360,0
2361,0
2362,0
2363,0
2364,0
2365,0
2366,0
2367,516
2368,509
2369,509
2370,0
2371,0
2372,0
2373,0
2374,0
2375,0
2376,0
2377,0
2378,0
2379,0
2380,0
2381,0
2382,0
2383,0
2384,85
2385,85
2386,0
2387,0
2388,0
2389,443
2390,0
2391,40
2392,40
2393,40
2394,19
2395,19
2396,19
2397,0
2398,0
2399,0
2400,0
2401,0
2402,0
2403,0
2404,0
2405,0
2406,0
2407,0
2408,0
2409,0
2410,0
2411,0
2412,0
2413,0
2414,0
2415,0
2416,0
2417,0
2418,0
2419,0
2420,0
2421,0
2422,0
2423,0
2424,0
2425,0
2426,0
2427,0
2428,111
2429,0
2430,109
2431,0
2432,0
2433,487
2434,496
2435,0
2436,0
2437,0
2438,0
2439,0
2440,0
2441,0
2442,0
2443,14
2444,0
2445,0
2446,0
2447,0
2448,0
2449,0
2450,0
2451,0
2452,0
2453,0
2454,0
2455,0
2456,0
2457,0
2458,0
2459,0
2460,0
2461,0
2462,0
2463,0
2464,0
2465,0
2466,0
2467,0
2468,0
2469,0
2470,0
2471,258
2472,258
2473,411
2474,401
2475,402
2476,0
2477,0
2478,0
2479,0
2480,0
2481,0
2482,0
2483,0
2484,0
2485,0
2486,0
2487,35
2488,35
2489,247
2490,241
2491,244
2492,41
2493,0
2494,0
2495,0
2496,0
2497,0
2498,0
2499,0
2500,0
2501,0
2502,0
2503,0
2504,0
2505,0
2506,0
2507,0
2508,0
2509,0
2510,0
2511,0
2512,0
2513,0
2514,0
2515,0
2516,0
2517,0
2518,0
2519,304
2520,160
2521,160
2522,160
2523,0
2524,0
2525,0
2526,422
2527,445
2528,0
2529,0
2530,0
2531,0
2532,0
2533,0
2534,0
2535,112
2536,112
2537,112
2538,0
2539,0
2540,0
2541,0
2542,0
2543,0
2544,0
2545,0
2546,0
2547,0
2548,0
2549,123
2550,121
2551,0
2552,0
2553,0
2554,0
2555,0
2556,0
2557,0
2558,0
2559,0
2560,0
2561,103
2562,103
2563,103
2564,100
2565,0
2566,0
2567,17
2568,17
2569,17
2570,17
2571,0
2572,0
2573,0
2574,0
2575,0
2576,0
2577,0
2578,0
2579,0
2580,0
2581,0
2582,0
2583,148
2584,0
2585,52
2586,0
2587,0
2588,357
2589,0
2590,350
2591,326
2592,300
2593,28
2594,253
2595,253
2596,244
2597,238
2598,238
2599,0
2600,0
2601,0
2602,0
2603,0
2604,0
2605,79
2606,79
2607,79
2608,0
2609,0
2610,0
2611,0
2612,0
2613,0
2614,0
2615,0
2616,244
2617,246
2618,243
2619,134
2620,134
2621,134
2622,0
2623,0
2624,0
2625,0
2626,0
2627,0
2628,0
2629,0
2630,0
2631,0
2632,0
2633,0
2634,115
2635,0
2636,0
2637,0
2638,0
2639,0
2640,0
2641,0
2642,0
2643,0
2644,0
2645,0
2646,0
2647,0
2648,0
2649,0
2650,0
2651,0
2652,0
2653,0
2654,126
2655,136
2656,136
2657,136
2658,158
2659,101
2660,158
2661,184
2662,0
2663,167
2664,167
2665,167
2666,0
2667,0
2668,0
2669,0
2670,0
2671,0
2672,0
2673,0
2674,0
2675,0
2676,0
2677,0
2678,0
2679,0
2680,0
2681,0
2682,0
2683,0
2684,0
2685,0
2686,0
2687,0
2688,0
2689,0
2690,0
2691,0
2692,0
2693,0
2694,0
2695,0
2696,0
2697,0
2698,0
2699,0
2700,0
2701,0
2702,0
2703,0
2704,0
2705,0
2706,0
2707,0
2708,0
2709,220
2710,0
2711,0
2712,0
2713,0
2714,0
2715,0
2716,0
2717,0
2718,0
2719,0
2720,0
2721,0
2722,0
2723,0
2724,0
2725,0
2726,0
2727,0
2728,0
2729,0
2730,0
2731,15
2732,134
2733,134
2734,0
2735,0
2736,0
2737,0
2738,0
2739,0
2740,0
2741,83
2742,84
2743,84
2744,40
2745,0
2746,0
2747,16
2748,17
2749,17
2750,0
2751,0
2752,0
2753,0
2754,0
2755,0
2756,0
2757,0
2758,65
2759,65
2760,65
2761,0
2762,0
2763,0
2764,0
2765,0
2766,0
2767,0
2768,0
2769,0
2770,0
2771,0
2772,180
2773,196
2774,126
2775,0
2776,0
2777,0
2778,0
2779,0
2780,0
2781,0
2782,0
2783,0
2784,0
2785,0
2786,68
2787,68
2788,68
2789,241
2790,241
2791,241
2792,0
2793,0
2794,188
2795,189
2796,189
2797,225
2798,224
2799,415
2800,455
2801,458
2802,458
2803,0
2804,77
2805,76
2806,77
2807,77
2808,77
2809,113
2810,114
2811,112
2812,0
2813,0
2814,156
2815,157
2816,254
2817,253
2818,253
2819,253
2820,57
2821,55
2822,55
2823,0
2824,0
2825,257
2826,264
2827,264
2828,205
2829,203
2830,203
2831,171
2832,171
2833,171
2834,171
2835,111
2836,109
2837,112
2838,111
2839,111
2840,114
2841,90
2842,91
2843,153
2844,153
2845,153
2846,153
2847,0
2848,0
2849,0
2850,0
2851,180
2852,208
2853,157
2854,158
2855,158
2856,0
2857,0
2858,0
2859,0
2860,0
2861,0
2862,0
2863,0
2864,0
2865,0
2866,0
2867,110
2868,110
2869,110
2870,42
2871,42
2872,42
2873,0
2874,0
2875,0
2876,154
2877,156
2878,0
2879,0
2880,0
2881,0
2882,105
2883,105
2884,0
2885,81
2886,81
2887,382
2888,361
2889,363
2890,0
2891,0
2892,0
2893,0
2894,0
2895,0
2896,0
2897,83
2898,82
2899,303
2900,198
2901,0
2902,0
2903,0
2904,0
2905,0
2906,0
2907,329
2908,317
2909,116
2910,116
2911,116
2912,0
