,0
1137,24
1138,24
1139,23
1140,22
1141,22
1142,102
1143,107
1144,105
1145,18
1146,18
1147,18
1148,24
1149,24
1150,24
1151,44
1152,242
1153,373
1154,365
1155,19
1156,19
1157,19
1158,19
1159,18
1160,18
1161,22
1162,23
1163,17
1164,17
1165,17
1166,17
1167,18
1168,18
1169,104
1170,105
1171,105
1172,105
1173,16
1174,16
1175,337
1176,301
1177,301
1178,500
1179,503
1180,362
1181,362
1182,362
1183,362
1184,157
1185,151
1186,151
1187,61
1188,61
1189,22
1190,23
1191,23
1192,117
1193,117
1194,114
1195,207
1196,207
1197,207
1198,69
1199,69
1200,19
1201,19
1202,18
1203,67
1204,68
1205,68
1206,23
1207,23
1208,23
1209,25
1210,25
1211,25
1212,258
1213,255
1214,23
1215,24
1216,24
1217,24
1218,228
1219,229
1220,143
1221,141
1222,141
1223,137
1224,108
1225,109
1226,269
1227,267
1228,267
1229,267
1230,237
1231,239
1232,283
1233,278
1234,281
1235,26
1236,26
1237,26
1238,24
1239,23
1240,23
1241,23
1242,23
1243,24
1244,25
1245,24
1246,24
1247,24
1248,14
1249,14
1250,14
1251,28
1252,28
1253,15
1254,14
1255,14
1256,22
1257,22
1258,22
1259,27
1260,27
1261,27
1262,27
1263,24
1264,24
1265,257
1266,249
1267,249
1268,259
1269,24
1270,24
1271,28
1272,28
1273,28
1274,28
1275,25
1276,23
1277,23
1278,23
1279,23
1280,25
1281,25
1282,27
1283,196
1284,196
1285,28
1286,28
